SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,Package,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,SaleEndDate,RebateToCustomer,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,660770,667430,667530,660780,667440,667540,660750,667410,667510,660760,667420,667520,660810,667460,667560,660820,667480,667580,660790,667450,667550,660800,667470,667570,660830,667490,667590,660840,667500,667600,662670,668130,668940,668950,668960,668970,663510,667780,668760,668780,664240,664250,668790,664270,668800,665740,668900,668330,668890,664280,668920,665860,668770,664350,669050,664360,669060,664342,669042,664290,668820,664302,664310,669020,664320,669030,665570,669070,660420,667750,660430,658180,658190,658200,611100,652400,610900,640800,640810,662180,660860,662190,660200,649680,660960,667760,663150,668750,664230,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
06766-V45-A00,Auger Shear Bolt Kit,,0,,0,HONDA,,,,,,,,,9.99,,,, ,,,,,,,,6.66,,,140,,,,,,,,,,,,,,,,,,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T,T, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
08207-5W30,5W-30 Engine Oil (Quart),,0,,0,HONDA,,,,,,,,,9.99,,,, ,,,,,,,,8.62,,,141,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08208-HST02,Hydrostatic Fluid (12 oz.),,0,,0,HONDA,,,,,,,,,9.99,,,, ,,,,,,,,8.06,,,142,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08207-10W30,10W-30 Engine Oil (Quart),,0,,0,HONDA,,,,,,,,,9.99,,,, ,,,,,,,,9.8,,,143,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08232-H99-FEJA1,5W-30 Engine Oil (Quart),,0,,0,HONDA,,,,,,,,,19.99,,,, ,,,,,,,,11.68,,,144,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08232-H99-KCJA1,10W-30 Engine Oil (12 Oz.),,0,,0,HONDA,,,,,,,,,9.99,,,, ,,,,,,,,5.34,,,145,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
08232-H99-KEJA1,10W-30 Engine Oil (Quart),,0,,0,HONDA,,,,,,,,,19.99,,,, ,,,,,,,,11.56,,,146,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
