SKU,Description,Active,Amount,BidEligible,BidCustomerDiscount,BrandID,ChargerID,ChargerName,DeliveryGroup,FinancingEligible,FinancingGroup,FleetEligible,FleetGroup,FleetPoints,FleetRebateProgram,FleetTier1Discount,FleetTier2Discount,FreightGroup,MSRP,OutputAmps,PromoName,PromotionType,RebateEligible,RebateStartDate,RebateEndDate,SalePrice,RebateToCustomer,SaleStartDate,SaleEndDate,SortOrder,System,Taxable,Voltage,ImageURL,Notes
669101,Honda CV5012N1A Standard Charger,T,,,,HONDA,,,,,,,,0,,,,HONDA_SPECIAL_40,99,,0,,,,,,,,,20,HONDA_BATTERY,,,,
669111,Honda CV5080N1A Quick Charger,T,,,,HONDA,,,,,,,,0,,,,HONDA_SPECIAL_40,179,,0,,,,,,,,,,HONDA_BATTERY,,,,
