SKU,Description,Active,AssemblyAmount,AssemblyOption,AssemblyTime,BrandID,Category,DeliveryGroup,DiscountEligible,DisplayAvailability,FinancingEligible,FreightGroup,LocalDelivery,Model,MSRP,PowerType,ProductType,PromoName,QtyDanbury,QtyNewMilford,RebateEligible,RebateEndDate,RebateStartDate,RebateToCustomer,SaleEndDate,SalePrice,SaleStartDate,Series,SortOrder,SpecialFinancingEligible,SubCategory,System,Taxable,AllowBackorder,BuyOnlineEligible,MaximumOnLineQty,AvailabilityRequestEligible,ShippingEligible,ShippingRateType,ShipWeight,ShipLength,ShipWidth,ShipHeight,ShippingCarrierRule,ShippingRestriction,ShipsSeparately,660770,667430,667530,660780,667440,667540,660750,667410,667510,660760,667420,667520,660810,667460,667560,660820,667480,667580,660790,667450,667550,660800,667470,667570,660830,667490,667590,660840,667500,667600,662670,668130,668940,668950,668960,668970,663510,667780,668760,668780,664240,664250,668790,664270,668800,665740,668900,668330,668890,664280,668920,665860,668770,664350,669050,664360,669060,664342,669042,664290,668820,664302,664310,669020,664320,669030,665570,669070,660420,667750,660430,658180,658190,658200,611100,652400,610900,640800,640810,662180,660860,662190,660200,649680,660960,667760,663150,668750,664230,RequiredModel1,RequiredSKU1,RequiredQty1,RequiredDescription1,RequiredModel2,RequiredSKU2,RequiredQty2,RequiredDescription2
661880,"SSESS Extension - 19.6""",T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,"SSESS Extension - 19.6""",79,,,,0,0,,,,,,79,,,112,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661870,"SSESL Extension - 39.3""",T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,"SSESL Extension - 39.3""",99,,,,0,0,,,,,,99,,,113,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661060,SSST Trimmer Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSST Trimmer Attachment,119,,,,0,0,,,,,,119,,,114,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661000,SSBL Blower Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSBL Blower Attachment,139,,,,0,0,,,,,,139,,,115,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661020,SSET Edger Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSET Edger Attachment,189,,,,0,0,,,,,,189,,,116,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661050,SSPP Pole Pruner Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSPP Pole Pruner Attachment,219,,,,0,0,,,,,,219,,,117,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661040,SSHHS Hedge Trimmer Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSHHS Hedge Trimmer Attachment,219,,,,0,0,,,,,,219,,,118,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661010,SSCL Cultivator Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSCL Cultivator Attachment,239,,,,0,0,,,,,,239,,,119,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
661030,SSHHL Hedge Trimmer Attachment,T,0,T,0,HONDA,Attachments,,T,T,T,HONDA_SPECIAL_40,,SSHHL Hedge Trimmer Attachment,189,,,,0,0,,,,,,239,,,120,,,,,,,,,,,,,,,,,, , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , , 
